"UNLI_CD_UNID_LITO";"UNLI_SG_UNID_LITO";"UNLI_NM_UNID_LITO";"UNLI_CD_UNID_LIT_S";"UNLI_CD_UNID_AGP";"TIUL_CD_TIPO_UNID";"UNLI_TX_FONTE_REF"
"426";"PRECAR  ";"SEQUENCIA PRE-CARBONIFERA";"";"786070";"FM";""
"414";"F NHAMUN";"FM. NHAMUNDA";"410";"921096";"FM";""
"415";"F MIRADO";"FM. MIRADOR";"404";"922598";"FM";""
"416";"F AUTMIR";"FM. AUTAS MIRIM";"410";"923096";"FM";""
"417";"F RIACHA";"FM. RIACHAO";"404";"923098";"FM";""
"418";"G PURUS ";"GR. PURUS";"";"923105";"GR";""
"419";"G ESTANC";"GR. ESTANCIA";"";"924098";"GR";""
"420";"F ACARI ";"FM. ACARI";"418";"925098";"FM";""
"421";"F PROSPE";"FM. PROSPERANCA";"418";"925598";"FM";""
"422";"G ITAJAI";"GR. ITAJAI";"";"926399";"GR";""
"423";"EMBASA  ";"EMBASAMENTO";"";"927099";"FM";""
"424";"SOLEIR  ";"SOLEIRA";"";"928099";"FM";""
"425";"DIQUE   ";"DIQUE";"";"929099";"FM";""
"110";"F TRAVOS";"FM. TRAVOSAS";"49";"280035";"FM";""
"111";"F IMBITU";"FM. IMBITUBA";"";"283045";"FM";""
"77";"F CARAPB";"FM. CARAPEBUS";"14";"221510";"FM";""
"78";"C ALBACO";"ARENITO ALBACORA";"77";"221710";"CM";""
"79";"C MARLIM";"ARENITO MARLIM";"77";"221810";"CM";""
"80";"C CORVIN";"CONGLOMERADO CORVINA";"77";"221815";"CM";""
"81";"C ENCHOV";"ARENITO ENCHOVA";"77";"221910";"CM";""
"82";"C BARRAC";"ARENITO BARRACUDA";"77";"222010";"CM";""
"83";"C GUARAJ";"ARENITO GUARAJUBA";"77";"222110";"CM";""
"84";"C CARAPE";"ARENITO CARAPEBA";"77";"222210";"CM";""
"85";"C ESPADA";"ARENITO ESPADARTE";"77";"222310";"CM";""
"86";"F FLORIP";"FM. FLORIANOPOLIS";"";"225045";"FM";""
"87";"F FLOITA";"FM. FLORIANOPOLIS/ITANHAEM INDIVISAS";"";"230045";"FM";""
"88";"F ATLANT";"FM. ATLANTIDA";"";"231043";"FM";""
"89";"F ITANHA";"FM. ITANHAEM";"";"235045";"FM";""
"90";"F FLOGUA";"FM. FLORIANOPOLIS/GUARUJA INDIVISAS";"";"240045";"FM";""
"91";"F TRAPTB";"FM. TRAMANDAI/PORTOBELO INDIVISAS";"";"241043";"FM";""
"92";"F GUARUJ";"FM. GUARUJA";"";"245045";"FM";""
"93";"F PORTOB";"FM. PORTOBELO";"";"251043";"FM";""
"94";"F GRAMAM";"FM. GRAMAME";"54";"252035";"FM";""
"95";"F ARIRI ";"FM. ARIRI";"";"253045";"FM";""
"96";"G BAURU ";"GR. BAURU";"";"258035";"GR";""
"97";"F BAUIND";"GR. BAURU INDIVISO";"96";"258135";"FM";""
"98";"F CURUMI";"FM. CURUMIM";"";"263045";"FM";""
"99";"G JAQUIR";"GR. JAQUIRANA";"";"264026";"GR";""
"100";"F JAQIND";"GR. JAQUIRANA INDIVISO";"99";"265026";"FM";""
"101";"F RAMON ";"FM. RAMON";"99";"265217";"FM";""
"102";"F DIVISO";"FM. DIVISOR";"99";"266035";"FM";""
"103";"F SERCUO";"FM. SERRA DO CUO";"24";"267010";"FM";""
"104";"F CASSIN";"FM. CASSINO";"";"273045";"FM";""
"105";"F AREINH";"FM. AREINHAS";"49";"274035";"FM";""
"106";"F AREIST";"FM. AREINHAS/ILHA DE SANTANA INDIVISAS";"49";"274535";"FM";""
"107";"F ISANTA";"FM. ILHA DE SANTANA";"49";"275035";"FM";""
"108";"F ISATRA";"FM. ILHA DE SANTANA/TRAVOSAS INDIVISAS";"49";"275138";"FM";""
"109";"F BEBERI";"FM. BEBERIBE";"54";"276036";"FM";""
"65";"F SANTOS";"FM. SANTOS";"";"205536";"FM";""
"66";"F SANJUR";"FM. SANTOS/JUREIA INDIVISAS";"";"205558";"FM";""
"67";"F JUREIA";"FM. JUREIA";"";"211536";"FM";""
"68";"F ITAACU";"FM. ITAJAI-ACU";"";"215045";"FM";""
"69";"G CAIUA ";"GR. CAIUA";"";"218043";"GR";""
"70";"F CAIIND";"GR. CAIUA INDIVISO";"69";"218148";"FM";""
"71";"M ILHBEL";"MB. ILHABELA";"68";"220045";"MB";""
"72";"F UBATUB";"FM. UBATUBA";"14";"221018";"FM";""
"73";"F TRAATL";"FM. TRAMANDAI/ATLANTIDA INDIVISAS";"";"221043";"FM";""
"74";"C ANOXIC";"CAMADA ANOXICO";"71";"221045";"CM";""
"75";"M GERIBA";"MB. GERIBA";"72";"221122";"MB";""
"76";"M TAMOIO";"MB. TAMOIOS";"72";"221222";"MB";""
"39";"F MARITU";"FM. MARITUBA";"34";"112014";"FM";""
"40";"F MOSQUE";"FM. MOSQUEIRO";"34";"113014";"FM";""
"41";"F CALUMB";"FM. CALUMBI";"";"114014";"FM";""
"42";"F IMBE  ";"FM. IMBE";"";"121025";"FM";""
"43";"M CURURU";"MB. CURURU";"31";"138021";"MB";""
"44";"F EMBUBA";"FMS. EMBORE/UBATUBA INDIVISAS";"14";"155017";"FM";""
"45";"F IGUAPE";"FM. IGUAPE";"";"159013";"FM";""
"46";"F IGUMAR";"FM. IGUAPE/MARAMBAIA INDIVISAS";"";"159023";"FM";""
"47";"F ALCIPO";"ALCALINAS DE IPORA";"";"161509";"FM";""
"48";"F ALCLAG";"ALCALINAS DE LAGES";"";"161809";"FM";""
"49";"G HUMCAM";"GR. HUMBERTO DE CAMPOS";"";"165024";"GR";""
"50";"F URUCUT";"FM. URUCUTUCA";"13";"176023";"FM";""
"51";"F UBARAN";"FM. UBARANA";"24";"177010";"FM";""
"52";"F ABROLH";"FM. ABROLHOS";"13";"180523";"FM";""
"53";"M AFUA  ";"MB. AFUA";"31";"182025";"MB";""
"54";"G PARAIB";"GR. PARAIBA";"";"184025";"GR";""
"55";"M ITAPAG";"MB. ITAPAGE";"51";"186038";"MB";""
"56";"F MARAMB";"FM. MARAMBAIA";"";"188013";"FM";""
"57";"F MARFAR";"FM. MARIA FARINHA";"54";"190025";"FM";""
"58";"M URUBUR";"MB. URUBURETAMA";"51";"199038";"MB";""
"59";"F MACAU ";"FM. MACAU";"24";"200512";"FM";""
"60";"G CAMAMU";"GR. CAMAMU";"";"201042";"GR";""
"61";"F TRAMAN";"FM. TRAMANDAI";"";"201043";"FM";""
"62";"F ALGODO";"FM. ALGODOES";"60";"201542";"FM";""
"63";"M GERMAN";"MB. GERMANIA";"62";"202042";"MB";""
"64";"M QUIEPE";"MB. QUIEPE";"62";"202542";"MB";""
"1";"SPA     ";"SEDIMENTOS DE PRAIAS E ALUVIOES";"";"10004";"FM";""
"2";"G PARA  ";"GR. PARA";"";"12004";"GR";""
"3";"F TUCUNA";"FM. TUCUNARE";"2";"14004";"FM";""
"4";"F TUCPIR";"FM. TUCUNARE/PIRARUCU INDIVISAS";"2";"14108";"FM";""
"5";"F PIRARU";"FM. PIRARUCU";"2";"14155";"FM";""
"6";"F PIRORA";"FM. PIRARUCU/ORANGE INDIVISAS";"2";"14208";"FM";""
"7";"F ORANGE";"FM. ORANGE";"2";"15105";"FM";""
"8";"G JAVARI";"GR. JAVARI";"";"17005";"GR";""
"9";"F SOLIMO";"FM. SOLIMOES";"8";"19005";"FM";""
"10";"F ALTCHA";"FM. ALTER DO CHAO";"8";"23005";"FM";""
"11";"F BOAVIS";"FM. BOA VISTA";"";"36003";"FM";""
"12";"F BARRRS";"FM. BARREIRAS";"";"44009";"FM";""
"13";"G ESPSAN";"GR. ESPIRITO SANTO";"";"45009";"GR";""
"14";"G CAMPOS";"GR. CAMPOS";"";"45011";"GR";""
"15";"F CACHOE";"FM. CACHOEIRINHA";"";"50009";"FM";""
"16";"F SEPETI";"FM. SEPETIBA";"";"55005";"FM";""
"17";"F RIODOC";"FM. RIO DOCE";"13";"56009";"FM";""
"18";"F RDOCAR";"FM. RIO DOCE/CARAVELAS INDIVISAS";"13";"56509";"FM";""
"19";"F CARAVE";"FM. CARAVELAS";"13";"57009";"FM";""
"20";"F EMBORE";"FM. EMBORE";"14";"59011";"FM";""
"21";"M GRUSSA";"MB. GRUSSAI";"20";"59411";"MB";""
"22";"M SAOTOM";"MB. SAO TOME";"20";"59611";"MB";""
"23";"M SIRI  ";"MB. SIRI";"20";"59811";"MB";""
"24";"G AGULHA";"GR. AGULHA";"24";"60005";"GR";""
"25";"F TIBAU ";"FM. TIBAU";"24";"70010";"FM";""
"26";"F TIBGUA";"FM. TIBAU/GUAMARE INDIVISAS";"24";"71007";"FM";""
"27";"F TUPANC";"FM. TUPANCIRETA";"";"71009";"FM";""
"28";"F PIRABA";"FM. PIRABAS";"";"76013";"FM";""
"29";"F GUAMAR";"FM. GUAMARE";"24";"78007";"FM";""
"30";"F SABIA ";"FM. SABIA";"";"78013";"FM";""
"31";"F MARAJO";"FM. MARAJO";"2";"82013";"FM";""
"32";"F MARAPA";"FM. MARAJO/AMAPA INDIVISAS";"2";"83018";"FM";""
"33";"M ARAGUA";"MB. ARAGUARI";"31";"84013";"MB";""
"34";"G PIACAB";"GR. PIACABUCU";"";"90005";"GR";""
"35";"F AMAPA ";"FM. AMAPA";"2";"90013";"FM";""
"36";"M MEXIAN";"MB. MEXIANA";"31";"100014";"MB";""
"37";"F CIDREI";"FM. CIDREIRA";"";"101025";"FM";""
"38";"F CIDIMB";"FM. CIDREIRA/IMBE INDIVISAS";"";"111025";"FM";""
"385";"M SDOMIN";"MB. SAO DOMINGOS";"384";"851080";"MB";""
"386";"M TIBAGI";"MB. TIBAGI";"384";"851580";"MB";""
"387";"M JAGRIV";"MB. JAGUARIAIVA";"384";"852080";"MB";""
"388";"F CABECA";"FM. CABECAS";"372";"856080";"FM";""
"389";"F PIMENT";"FM. PIMENTEIRAS";"372";"868082";"FM";""
"390";"F MAECUR";"FM. MAECURU";"381";"875083";"FM";""
"391";"F FURNAS";"FM. FURNAS";"383";"878083";"FM";""
"392";"G RIOIVA";"GR. RIO IVAI";"";"880089";"GR";""
"393";"F ITAIM ";"FM. ITAIM";"372";"882083";"FM";""
"394";"F VMARIA";"FM. VILA MARIA";"392";"890089";"FM";""
"395";"F JURUA ";"FM. JURUA";"301";"893080";"FM";""
"396";"G MARIMA";"GR. MARIMARI";"";"894005";"GR";""
"397";"F JANDIA";"FM. JANDIATUBA";"396";"894110";"FM";""
"398";"M JARAQU";"MB. JARAQUI";"397";"894215";"MB";""
"399";"F UERE  ";"FM. UERE";"396";"894320";"FM";""
"400";"M ARAUA ";"MB. ARAUA";"399";"894425";"MB";""
"401";"F JUTAI ";"FM. JUTAI";"396";"894530";"FM";""
"402";"M BIA   ";"MB. BIA";"401";"894635";"MB";""
"403";"F BENCON";"FM. BENJAMIN CONSTANT";"396";"894740";"FM";""
"404";"G SGRAND";"GR. SERRA GRANDE";"";"897092";"GR";""
"405";"F JAICOS";"FM. JAICOS";"404";"905092";"FM";""
"406";"F TIANGU";"FM. TIANGUA";"404";"909094";"FM";""
"407";"F IAPO  ";"FM. IAPO";"392";"910099";"FM";""
"408";"F IPU   ";"FM. IPU";"404";"911094";"FM";""
"409";"F ALTGAR";"FM. ALTO GARCAS";"392";"912099";"FM";""
"410";"G TROMBE";"GR. TROMBETAS";"";"913094";"GR";""
"411";"F MANACA";"FM. MANACAPURU";"410";"915094";"FM";""
"412";"F PITING";"FM. PITINGA";"410";"917094";"FM";""
"413";"F BSTTLG";"BASALTO TRES LAGOAS";"392";"920099";"FM";""
"375";"F POTI  ";"FM. POTI";"372";"818073";"FM";""
"376";"F ORIXIM";"FM. ORIXIMINA";"373";"819073";"FM";""
"377";"F CURIRI";"FM. CURIRI";"373";"825074";"FM";""
"378";"M ATALAI";"MB. ATALAIA";"368";"832074";"MB";""
"379";"F LONGA ";"FM. LONGA";"372";"838078";"FM";""
"380";"F BARREI";"FM. BARREIRINHA";"373";"843079";"FM";""
"381";"G URUPAD";"GR. URUPADI";"";"848070";"GR";""
"382";"F ERERE ";"FM. ERERE";"381";"849080";"FM";""
"383";"G PARANA";"GR. PARANA";"";"850050";"GR";""
"384";"F PONGRO";"FM. PONTA GROSSA";"383";"850080";"FM";""
"373";"G CURUA ";"GR. CURUA";"";"814090";"GR";""
"374";"F FARO  ";"FM. FARO";"373";"815073";"FM";""
"338";"F CORUMB";"FM. CORUMBATAI";"331";"726060";"FM";""
"339";"F TERESI";"FM. TERESINA";"331";"728060";"FM";""
"340";"F PEDFOG";"FM. PEDRA DE FOGO";"321";"734060";"FM";""
"341";"F SERALT";"FM. SERRA ALTA";"331";"736060";"FM";""
"342";"F IRATI ";"FM. IRATI";"331";"738060";"FM";""
"343";"M ASSIST";"MB. ASSISTENCIA";"342";"738560";"MB";""
"344";"M TAQRAL";"MB. TAQUARAL";"342";"739060";"MB";""
"345";"G GUATA ";"GR. GUATA";"";"740060";"GR";""
"346";"F DOURAD";"FM. DOURADOS";"345";"743060";"FM";""
"347";"F PALERM";"FM. PALERMO";"345";"744060";"FM";""
"348";"F RBONIT";"FM. RIO BONITO";"345";"750060";"FM";""
"349";"M SIDERO";"MB. SIDEROPOLIS";"348";"751060";"MB";""
"350";"M PARAGU";"MB. PARAGUACU";"348";"752060";"MB";""
"351";"M TRIUNF";"MB. TRIUNFO";"348";"753060";"MB";""
"352";"G ITARAR";"GR. ITARARE";"";"756062";"GR";""
"353";"F ITAIND";"GR. ITARARE INDIVISO";"352";"757062";"FM";""
"354";"F AQUIDA";"FM. AQUIDAUANA";"352";"757265";"FM";""
"355";"F TACIBA";"FM. TACIBA";"352";"758062";"FM";""
"356";"M CHASOL";"MB. CHAPEU DO SOL";"355";"759062";"MB";""
"357";"M RIOSUL";"MB. RIO DO SUL";"355";"760062";"MB";""
"358";"F CAMMOU";"FM. CAMPO MOURAO";"352";"771064";"FM";""
"359";"M RSEGRE";"MB. RIO SEGREDO";"358";"771364";"MB";""
"360";"M CAMTEN";"MB. CAMPO DO TENENTE";"358";"771564";"MB";""
"361";"F LAGAZU";"FM. LAGOA AZUL";"352";"772065";"FM";""
"362";"M TARABA";"MB. TARABAI";"361";"772565";"MB";""
"363";"M CUIPAU";"MB. CUIABA PAULISTA";"361";"773065";"MB";""
"364";"F ITAITU";"FM. ITAITUBA";"328";"783069";"FM";""
"365";"F CRUSUL";"FM. CRUZEIRO DO SUL";"99";"785060";"FM";""
"366";"F APUI  ";"FM. APUI";"99";"785165";"FM";""
"367";"F PIAUI ";"FM. PIAUI";"321";"788069";"FM";""
"368";"F BATING";"FM. BATINGA";"334";"790069";"FM";""
"369";"M BOACIC";"MB. BOACICA";"368";"792069";"MB";""
"370";"F MALEGR";"FM. MONTE ALEGRE";"328";"804070";"FM";""
"371";"M MULUNG";"MB. MULUNGU";"368";"812071";"MB";""
"372";"G CANIND";"GR. CANINDE";"";"814073";"GR";""
"321";"G BALSAS";"GR. BALSAS";"";"675055";"GR";""
"322";"F SAMBAI";"FM. SAMBAIBA";"321";"676055";"FM";""
"323";"F MOTUCA";"FM. MOTUCA";"321";"678055";"FM";""
"324";"F CURITU";"FM. CURITUBA";"295";"681054";"FM";""
"325";"G JATOBA";"GR. JATOBA";"";"691505";"GR";""
"326";"F INAJA ";"FM. INAJA";"325";"691510";"FM";""
"327";"F TACARA";"FM. TACARATU";"325";"691520";"FM";""
"328";"G TAPAJO";"GR. TAPAJOS";"";"702050";"GR";""
"329";"F ANDIRA";"FM. ANDIRA";"328";"703060";"FM";""
"330";"F NOLIND";"FM. NOVA OLINDA";"328";"705060";"FM";""
"331";"G PASDOI";"GR. PASSA DOIS";"";"707060";"GR";""
"332";"F PDOIND";"GR. PASSA DOIS INDIVISO";"331";"707160";"FM";""
"333";"F RRASTO";"FM. RIO DO RASTO";"331";"708060";"FM";""
"334";"G IGRNOV";"GR. IGREJA NOVA";"";"710005";"GR";""
"335";"M MORPEL";"MB. MORRO PELADO";"333";"710060";"MB";""
"300";"F CORDA ";"FM. CORDA";"298";"624053";"FM";""
"301";"G TEFE  ";"GR. TEFE";"";"627050";"GR";""
"302";"F ALIANC";"FM. ALIANCA";"295";"654054";"FM";""
"303";"F BANANE";"FM. BANANEIRAS";"294";"656054";"FM";""
"304";"F FONBOA";"FM. FONTE BOA";"301";"657059";"FM";""
"305";"F CARAUA";"FM. CARAUARI";"301";"657065";"FM";""
"306";"M CAPIAN";"MB. CAPIANGA";"302";"658054";"MB";""
"307";"F BOTUCA";"FM. BOTUCATU";"170";"660054";"FM";""
"308";"F PIRAMB";"FM. PIRAMBOIA";"170";"661050";"FM";""
"336";"F ARACAR";"FM. ARACARE";"334";"714060";"FM";""
"337";"M SERRIN";"MB. SERRINHA";"333";"724060";"MB";""
"309";"M BOIPEB";"MB. BOIPEBA";"302";"662054";"MB";""
"310";"F CANDEE";"FM. CANDEEIRO";"294";"664054";"FM";""
"311";"F AFLIGI";"FM. AFLIGIDOS";"295";"666754";"FM";""
"312";"M CAZUMB";"MB. CAZUMBA";"311";"667254";"MB";""
"313";"M PEDRAO";"MB. PEDRAO";"311";"667754";"MB";""
"314";"F PASBON";"FM. PASTOS BONS";"298";"668053";"FM";""
"315";"F ROSSUL";"FM. ROSARIO DO SUL";"170";"671055";"FM";""
"316";"M SMARIA";"MB. SANTA MARIA";"315";"671555";"MB";""
"317";"F MOSQUI";"FM. MOSQUITO";"298";"672053";"FM";""
"318";"F SANBRI";"FM. SANTA BRIGIDA";"295";"673054";"FM";""
"319";"M INGA  ";"MB. INGA";"318";"674054";"MB";""
"320";"M CALDEI";"MB. CALDEIRAO";"318";"675054";"MB";""
"296";"F ITAIPE";"FM. ITAIPE";"295";"619854";"FM";""
"297";"F SERGI ";"FM. SERGI";"295";"620054";"FM";""
"260";"F RETIRO";"FM. RETIRO";"258";"482048";"FM";""
"261";"F GARGAU";"FM. GARGAU";"258";"482548";"FM";""
"262";"F MACABU";"FM. MACABU";"258";"483548";"FM";""
"263";"F COQUEI";"FM. COQUEIROS";"258";"484048";"FM";""
"264";"F ATAFON";"FM. ATAFONA";"258";"484548";"FM";""
"265";"C BIT.1 ";"BIT - 1";"257";"510151";"CM";""
"266";"C BIT.2 ";"BIT - 2";"257";"511451";"CM";""
"267";"C BIT.3 ";"BIT - 3";"257";"514851";"CM";""
"268";"C BIT.4 ";"BIT - 4";"257";"517051";"CM";""
"269";"F MANARI";"FM. MANARI";"138";"518353";"FM";""
"270";"C BIT.5 ";"BIT - 5";"257";"519451";"CM";""
"271";"C BIT.6 ";"BIT - 6";"257";"521851";"CM";""
"272";"M SANTIA";"MB. SANTIAGO";"255";"522051";"MB";""
"273";"C BIT.7 ";"BIT - 7";"257";"523851";"CM";""
"274";"F TAQUIP";"FM. TAQUIPE";"253";"530452";"FM";""
"275";"F MARFIM";"FM. MARFIM";"253";"532051";"FM";""
"276";"M CATU  ";"MB. CATU";"275";"533051";"MB";""
"277";"F SALSAM";"FM. SALVADOR/GR. SANTO AMARO INDIVISOS";"253";"534051";"FM";""
"278";"G STOAMA";"GR. SANTO AMARO";"";"535051";"GR";""
"279";"F MARACA";"FM. MARACANGALHA";"278";"537051";"FM";""
"280";"F JURMIR";"FM. JURUA MIRIM";"99";"547054";"FM";""
"281";"F RMOURA";"FM. RIO DO MOURA";"99";"548054";"FM";""
"282";"F APOTER";"FM. APOTERI";"138";"551553";"FM";""
"283";"G GUARAT";"GR. GUARATIBA";"";"552048";"GR";" "
"284";"F CALCOE";"FM. CALCOENE";"2";"558853";"FM";""
"285";"M CARUAC";"MB. CARUACU";"279";"578052";"MB";""
"286";"M PITANG";"MB. PITANGA";"279";"579051";"MB";""
"287";"F CANDEI";"FM. CANDEIAS";"278";"590052";"FM";""
"288";"M GOMO  ";"MB. GOMO";"287";"593052";"MB";""
"289";"M TAUA  ";"MB. TAUA";"287";"602052";"MB";""
"290";"F CAMBOR";"FM. CAMBORIU";"";"604048";"FM";""
"291";"F CABIUN";"FM. CABIUNAS";"177";"608050";"FM";""
"292";"F AGGRAN";"FM. AGUA GRANDE";"278";"608052";"FM";""
"293";"F ITAPAR";"FM. ITAPARICA";"278";"610052";"FM";""
"294";"G PERUCA";"GR. PERUCABA";"";"611005";"GR";""
"295";"G BROTAS";"GR. BROTAS";"";"619054";"GR";""
"298";"G MEARIM";"GR. MEARIM";"";"622053";"GR";""
"299";"F SERRAR";"FM. SERRARIA";"294";"622054";"FM";""
"257";"F BARITI";"FM. BARRA DE ITIUBA";"175";"478051";"FM";""
"258";"G LAGFEI";"GR. LAGOA FEIA";"";"481048";"GR";""
"259";"F ITABAP";"FM. ITABAPOANA";"258";"481548";"FM";""
"224";"F RCEMIR";"FM. RIO CEARA-MIRIM";"147";"431045";"FM";""
